,POS,count,session,book
263,POS,0.4900000000000001,8,False
264,RBR,0.09000000000000005,8,False
265,PDT,0.12333333333333335,8,False
266,VBN,0.5707692307692311,8,False
267,NNPS,0.01641025641025641,8,False
268,WDT,0.2787179487179487,8,False
269,EX,0.41974358974358966,8,False
270,JJR,0.22871794871794868,8,False
271,FW,0.03333333333333332,8,False
272,RBS,0.006666666666666666,8,False
273,WP$,0.012564102564102564,8,False
274,PRP,16.278620689655174,9,False
275,VB,10.65206896551724,9,False
276,NNP,5.0134482758620695,9,False
277,RB,7.222413793103447,9,False
278,VBD,2.7724137931034485,9,False
279,IN,8.285862068965516,9,False
280,NN,18.33310344827587,9,False
281,VBP,6.7396551724137925,9,False
282,DT,8.97034482758621,9,False
283,CC,2.5172413793103456,9,False
284,TO,3.2403448275862083,9,False
285,WP,2.0662068965517246,9,False
286,VBZ,4.099655172413795,9,False
287,JJ,7.2475862068965515,9,False
288,WRB,1.1482758620689657,9,False
289,VBG,2.600344827586207,9,False
290,RP,1.2262068965517243,9,False
291,CD,1.0558620689655174,9,False
292,NNS,2.848275862068966,9,False
293,VBN,0.753448275862069,9,False
294,PRP$,2.0551724137931044,9,False
295,JJR,0.25241379310344825,9,False
296,MD,1.5996551724137937,9,False
297,UH,1.113448275862069,9,False
298,POS,0.3268965517241379,9,False
299,RBS,0.009655172413793102,9,False
300,WDT,0.4689655172413795,9,False
301,FW,0.040689655172413804,9,False
302,PDT,0.14275862068965517,9,False
303,RBR,0.1255172413793103,9,False
304,EX,0.4334482758620691,9,False
305,JJS,0.04482758620689656,9,False
306,NNPS,0.021724137931034487,9,False
307,WP$,0.004827586206896552,9,False
308,RB,7.304406779661014,10,False
309,DT,8.729830508474576,10,False
310,NN,18.6142372881356,10,False
311,IN,8.547118644067798,10,False
312,WP,2.044745762711865,10,False
313,VBZ,3.0254237288135606,10,False
314,PRP,15.128813559322037,10,False
315,VBP,6.486101694915253,10,False
316,TO,3.1030508474576286,10,False
317,VB,10.538644067796609,10,False
318,CD,1.1298305084745768,10,False
319,VBD,2.8949152542372887,10,False
320,JJ,7.34101694915254,10,False
321,PRP$,1.9030508474576275,10,False
322,NNS,2.8244067796610186,10,False
323,RP,1.0949152542372884,10,False
324,VBG,2.301355932203392,10,False
325,CC,2.3925423728813566,10,False
326,WRB,1.12135593220339,10,False
327,NNP,4.790508474576273,10,False
328,VBN,0.600677966101695,10,False
329,UH,1.1027118644067802,10,False
330,JJR,0.26440677966101694,10,False
331,WDT,0.408135593220339,10,False
332,MD,1.487118644067797,10,False
333,POS,0.3779661016949153,10,False
334,FW,0.021694915254237293,10,False
335,RBS,0.011525423728813558,10,False
336,EX,0.3793220338983052,10,False
337,RBR,0.12779661016949154,10,False
338,PDT,0.12135593220338985,10,False
339,WP$,0.012203389830508473,10,False
340,JJS,0.030169491525423735,10,False
341,NNPS,0.015932203389830507,10,False
342,CC,2.2989090909090923,11,False
343,RB,7.679272727272725,11,False
344,PRP,14.780000000000005,11,False
345,MD,1.5512727272727278,11,False
346,VB,10.228000000000002,11,False
347,IN,8.639272727272726,11,False
348,JJ,7.386545454545456,11,False
349,VBP,6.467636363636362,11,False
350,CD,1.3661818181818182,11,False
351,NN,19.486545454545457,11,False
352,NNP,6.648000000000001,11,False
353,VBG,2.22509090909091,11,False
354,DT,8.534909090909089,11,False
355,VBZ,2.4189090909090916,11,False
356,EX,0.3600000000000001,11,False
